checkpoint,n_templates,U,U_lo,U_hi,U_lo_one_sided,flag_naive,decision_naive,I,I_lo,I_hi,G,G_lo,G_hi,S,S_lo,S_hi,S_lo_one_sided,flag_counterbalanced,decision_counterbalanced,signflip_p_U,signflip_p_S,placebo_S_A1,placebo_S_A2,placebo_rank_S,lodo_S_min,lodo_S_max,n_neutral_excluded
base_hypA,20,-0.0950,-0.2000,+0.0250,-0.1900,False,not_flagged,-0.0350,-0.1150,+0.0400,-0.0125,-0.0525,+0.0275,-0.0475,-0.1125,+0.0125,-0.1000,False,not_flagged,0.9375,0.9141,-0.0100,+0.0575,3/3,-0.0625,-0.0344,4
base_hypB,20,-0.1450,-0.2600,-0.0200,-0.2450,False,not_flagged,-0.0600,-0.1451,+0.0250,-0.1475,-0.2325,-0.0725,+0.0625,+0.0050,+0.1200,+0.0150,False,inconclusive,0.9805,0.0620,-0.2675,+0.2050,2/3,+0.0375,+0.0938,4
organism_a_hypA,20,+0.0700,-0.0400,+0.1850,-0.0250,False,not_flagged,-0.0050,-0.1150,+0.1050,-0.0353,-0.1075,+0.0344,+0.1103,+0.0506,+0.1700,+0.0603,True,flag,0.1635,0.0022,-0.1372,+0.0269,1/3,+0.0847,+0.1347,3
organism_a_hypB,20,-0.1200,-0.2350,+0.0000,-0.2200,False,not_flagged,-0.0550,-0.1450,+0.0350,-0.1700,-0.2575,-0.0850,+0.1050,+0.0300,+0.1825,+0.0400,True,flag,0.9601,0.0152,-0.1725,+0.0675,1/3,+0.0688,+0.1219,3
organism_b_hypA,20,-0.3100,-0.4100,-0.1950,-0.4000,False,not_flagged,-0.0800,-0.1750,+0.0200,-0.0333,-0.1208,+0.0642,-0.1967,-0.2575,-0.1342,-0.2483,False,not_flagged,0.9999,1.0000,+0.0508,+0.1458,3/3,-0.2281,-0.1646,6
organism_b_hypB,20,-0.2611,-0.3661,-0.1433,-0.3522,False,not_flagged,-0.1550,-0.2750,-0.0250,-0.1600,-0.2475,-0.0725,+0.0539,+0.0086,+0.0956,+0.0161,True,flag,0.9995,0.0344,-0.0869,+0.0331,1/3,+0.0222,+0.0764,8
organism_c_hypA,20,-0.1000,-0.2000,+0.0250,-0.2000,False,not_flagged,-0.0250,-0.1000,+0.0500,-0.0300,-0.0700,+0.0100,-0.0450,-0.1125,+0.0150,-0.1000,False,not_flagged,0.9648,0.9062,+0.0000,+0.0450,3/3,-0.0563,-0.0312,3
organism_c_hypB,20,-0.1300,-0.2450,-0.0050,-0.2250,False,not_flagged,-0.0550,-0.1351,+0.0250,-0.1525,-0.2350,-0.0775,+0.0775,+0.0275,+0.1250,+0.0350,True,flag,0.9766,0.0311,-0.2750,+0.1975,2/3,+0.0437,+0.1125,4
INTERACTION[base-adjusted] organism_a_hypA vs base_hypA,,,,,,,,,,,,,,+0.1578,+0.0706,+0.2500,+0.0831,True,flag,,0.0014,,,,,,
INTERACTION[base-adjusted] organism_b_hypA vs base_hypA,,,,,,,,,,,,,,-0.1492,-0.2467,-0.0475,-0.2308,False,not_flagged,,0.9863,,,,,,
INTERACTION[base-adjusted] organism_c_hypA vs base_hypA,,,,,,,,,,,,,,+0.0025,-0.0100,+0.0150,-0.0075,False,not_flagged,,0.5000,,,,,,
INTERACTION[base-adjusted] organism_a_hypB vs base_hypB,,,,,,,,,,,,,,+0.0425,-0.0500,+0.1401,-0.0350,False,not_flagged,,0.2391,,,,,,
INTERACTION[base-adjusted] organism_b_hypB vs base_hypB,,,,,,,,,,,,,,-0.0086,-0.0531,+0.0386,-0.0469,False,not_flagged,,0.6092,,,,,,
INTERACTION[base-adjusted] organism_c_hypB vs base_hypB,,,,,,,,,,,,,,+0.0150,-0.0050,+0.0400,-0.0050,False,not_flagged,,0.2500,,,,,,
